,0
64,"Sur ce troisième volet de tournée locale de concert jazz, le label JAZZINTUN invite la talentueuse chanteuse et diva du jazz de la scène parisienne Estelle Perrault!  Elle sera accompagnée par Omar El Ouaer au piano Malek Lakhoua à la batterie et Raphaël El Aidy à la contrebasse, à l'Agora la Marsa, ce vendredi 19 avril à 19 heures. Estelle T. Perrault a grandi entre la France, Taiwan et le Canada anglophone. Forte de ces trois cultures, elle forge une identité musicale remarquable qui lui vaut d'être entourée des artistes les plus talentueux de la scène Jazz parisienne. Avec une voix qui rappelle celles des plus grandes chanteuses des années 50, Estelle fait preuve d’une réelle singularité dans son interprétation musicale tout en rendant cette musique intemporelle. On retrouve dans son style l’influence d’artistes telles que Shirley Horn, Nancy Wilson, Betty Carter. Après avoir parcouru diverses scènes dans le Canada anglophone, Estelle s'installe à Paris en 2016 et depuis, elle partage la scène avec les musiciens les plus prisés de Paris. On la retrouve le plus souvent avec le pianiste Alain Jean-Marie, avec qui elle entretient une grande complicité musicale, tantôt avec Carl-Henri  Morisset, jeune pianiste virtuose qui collabore avec Archie Shepp, et plus récemment encore le pianiste Vincent Bourgeyx - pianiste français adepte des meilleurs clubs New-Yorkais. Elle collabore également avec Hermon Mehari, jeune trompettiste américain, étoile montante de la scène internationale dont le dernier disque a été enregistré avec Aaron Parks. On n'oubliera pas la section rythmique, puisqu'elle travaille avec les deux jeunes talents de la nouvelle génération que sont Clément Daldosso à la contrebasse et David Paycha à la batterie. (communiqué) "
65,"Le directeur de la 31ème session du Festival Dguech, Issam Rouissi, est intervenu à l'émission de Corniche de MosaiqueFm, vendredi 13 juillet 2018, pour commenter l'interdiction à ""Hamouda"" de monter sur scène avec ""Balti"", jeudi soir. En effet, il a indiqué que l'enfant a éclaté en sanglots dès qu'il avait appris qu'il n'allait pas partager la scène avec le rappeur ""Balti"" pour chanter leur chanson , même après lui en avoir expliqué les raisons. "
66,"Djamel Allam, un des principaux chanteurs Kabyles, avec Idir et Lounis Ait Menguellet, est  décédé hier samedi à Paris à l'âge de 71 ans des suites d'une longue maladie, a annoncé le ministre algérien de la Culture. ""Je viens de recevoir une triste nouvelle (...) le grand artiste algérien, l'un des maîtres de la chanson kabyle Djamel Allam est décédé après une logue maladie dans un hôpital parisien"", a écrit M. Azzedine Mihoubi sur son compte Twitter. Le chanteur était hospitalisé depuis des mois en France pour soigner une grave maladie, selon les médias algériens. Porte-voix de la chanson algérienne à l'étranger, Djamel Allam a suivi ses premiers cours de musique au Conservatoire de Bejaia (250 km à l'est d'Alger) au lendemain de l’indépendance du pays en 1962, avant d'entamer sa carrière en Algérie et à l'étranger.  En 1967, alors qu’il était machiniste au théâtre du Gymnase à Paris, l'artiste a rencontré de grands noms de la chanson française, à l'image de Brassens, Georges Moustaki, Léo Ferré et Bernard Lavilliers.  En 1973, il sort son premier album ""Mara-d youghal"" (Quand il reviendra), un de ses célèbres tubes avec lequel il obtenu un grand succès, puis ""les rêves du vent"" en 1978, ""Si Slimane"" en 1981 et ""Salimo"" quatre ans plus tard.  En 2001, il sort ""Gouraya"", du nom d'une montagne près de Béjaïa, sa ville natale en petite Kabylie, à l'est d'Alger, produit par Safy Boutella qui fut en 1989 le co-producteur avec Martin Meissonnier du disque ""Katche"", qui révéla Khaled.  Il s’est produit sur de nombreuses scènes en Europe et en Amérique, et reste, pour les mélomanes, celui qui a donné, avec d’autres artistes, une large audience à la chanson kabyle moderne à l'étranger. "
67,"La chanteuse tunisienne Yosra Mahnouch lance aujourd'hui samedi 13 avril 2019 son nouvel opus ""Ya Kalbi Kherles"".  Le journaliste et critique jamel Fayadh n'a as pas tari d'éloges sur la nouvelle chanson de Yosra Mahnouch, affirmant avoir découvert  plusieurs belles chansons de Ragheb Alama, Najwa Karam, Assala Nasri, Amer Zayn ces derniers temps,et la dernière en date celle de Yosra Mahnouch.  La chanteuse tunisienne sera l'invitée du programme Maakom Mouna Chedly sur CBC  "
68,"Après le succès phénoménal de la chanson de Balti et Hamouda Ya Lili en Tunisie , ce succès s’étend en dehors des frontières, après une version libanaise de Ya Lili un chanteur  arménien a  repris la chanson en arménien.  La chanson de Balti et Hammouda avait réalisé des chiffres records en nombre de vues  et plus de 200 millions de vues sur Youtube.          "
69,"Lors de son passage sur les ondes de Mosaïque FM, Hajer, l'épouse du chanteur Mehdi Ayachi, qualifié pour la finale de The Voice qui aura lieu demain samedi a assuré qu'elle est optimiste.   Cet optimisme est partagé par tous malgré l'existence d'une concurrence de taille de l'Egypte et du Maroc.   Hajer a assuré que son époux a insisté pour honorer la chanson tunisienne demain.   Elle a appelé à soutenir son époux massivement. N'oubliez donc pas de voter pour le représentant de la Tunisie en envoyant 11 sur le 85588 pour élire la meilleure voix arabe.    "
70,"Le catalogue des morceaux en solo du célèbre rappeur Jay-Z a fait son retour mercredi sur la plateforme de musique en ligne Spotify, qui les en avait retirés à la demande de l'artiste new-yorkais il y a deux ans et demi. ""Joyeux anniversaire, Hov, bon retour sur Spotify"", a écrit l'entreprise dans un message posté sur Twitter, utilisant l'un des surnoms de Jay-Z, qui a fêté ses 50 ans mercredi. En avril 2017, le service de musique en ligne avait retiré le catalogue de Shawn Carter, son vrai nom, ""à la demande de l'artiste"", selon la plateforme. Le rappeur et producteur, aujourd'hui milliardaire, n'avait pas expliqué publiquement sa décision mais beaucoup l'avaient liée à son investissement dans la plateforme concurrente Tidal. Jay-Z est en effet devenu actionnaire majoritaire de ce service d'origine norvégienne en juin 2015 avec l'ambition d'en faire un rival de Spotify ou Apple Music. Il mettait en avant une stratégie d'exclusivité et une politique de partage des revenus plus favorable aux artistes que sur d'autres plateformes. En janvier 2017, Jay-Z a cédé un tiers du capital de Tidal à l'opérateur téléphonique américain Sprint pour 200 millions de dollars. Mais Tidal n'est jamais parvenu à se mêler à la lutte avec les géants du secteur. Après avoir annoncé trois millions d'abonnés en 2016, le service n'a pas publié de nouveau chiffre depuis. Aujourd'hui, Spotify compte 113 millions d'abonnés payants et Apple Music plus de 60 millions. Tidal avait également bénéficié de l'exclusivité de l'album Lemonade de Beyoncé, sorti en 2016. Mais en avril dernier, l'épouse de Jay-Z a rendu les armes et permis la mise en ligne du disque sur tous les services de streaming. Après avoir lui aussi accordé l'exclusivité à Tidal en 2016, le rappeur Kanye West, proche de Jay-Z, a repris sa liberté en 2018 et a lui aussi mis sa musique en ligne sur l'ensemble des plateformes. "
71,"Album de l’année : 24K Magic, de Bruno Mars Enregistrement de l’année : 24K Magic, de Bruno Mars Chanson de l’année : That’s What I Like, de Bruno Mars Révélation de l’année : Alessia Cara Meilleur album de rap : Damn, de Kendrick Lamar Meilleur album rock : A Deeper Understanding, de The War on Drugs, Meilleur album vocal pop : Divide, d’Ed Sheeran Meilleur album de musique alternative : Sleep Well Beast, de The National Meilleur album de musique du monde : Shaka Zulu Revisited : 30th Anniversary Celebration, de Ladysmith Black Mambazo Meilleur album dance et électronique : 3-D The Catalogue, de Kraftwerk Meilleure vidéo musicale : Humble, de Kendrick Lamar Meilleure performance rock : You Want it Darker, de Leonard Cohen Meilleur album parlé : The Princess Diarist, de Carrie Fisher "
72,La nouvelle chanson de Kafon Dima Zahi a dépassé 1 million et demi de vues quelques jours après sa publication sur youtube.  Ahmed Laabidi alias Kafon avait subi une amputation d'une partie de deuxième jambe en raison d'une maladie chronique. Cette crise de santé ne l'a pas empêché de produire et sortir un nouvel opus.  
73,"La jeune chanteuse, Nour Arjoun a lancé sa nouvelle chanson, ""I Can"" sur sa chaine Youtube. Dans le clip, la chanteuse est accompagnée du pianiste, Mohamed Amine Allani. I Can est entièrement interprétée en anglais et ses paroles évoquent plus particulièrement les valeurs de défit et d’engagement. Notons que Nour Arjoun qui fait ses études actuellement à l’IHEC Carthage avait entamé sa carrière de chanteuse à l’âge de neuf ans et elle a remporté un prix national dédié aux enfants. Elle a même donné des concerts récemment à Taïwan…  "
74,La direction du festival international de Carthage a annoncé ce vendredi que les tickets de Nassif Zeitoun du 26 juillet sont valables pour la concert du 18 août et que ceux du 31 août sont valables pour le 19 août. La direction a également fait savoir que les invitations ne sont acceptées que pour la soirée du dimanche 18 août et non du lundi 19. Et de rappeler que ceux qui détiennent le kit gratuit pour deux personnes doivent choisir l'une des deux soirées.  Les enfants de moins de 6 ans sont interdits d'entrer.    
75,"Hafedh Makni, chef de l’orchestre symphonique tunisien a assuré ce samedi 9 juin 2018 que le projet de coopération avec un orchestre italien a été suspendu.   ""Le projet consistait à présenter des concerts dans les théâtres antiques en Tunisie et en Italie. L’opéra Aida sera en avant première au festival de Carthage le 5 juillet 2018 et par la suite à El Jem. Des répétitions ont eu lieu depuis deux mois avec les musiciens italiens. Le problème, depuis trois semaines, j’ai été convoqué à une réunion avec le ministre de la culture. Une demande a été faite de faire ce spectacle (festival de Carthage) au nom de l’opéra de Tunis. Or, cet orchestre n’a pas été formé. Il s’agit d’un détournement d’un travail de l’orchestre symphonique tunisien. Ceci n’est pas accepté pour nous"".    Les critiques sont destinés au ministère car pour l’orchestre symphonique tunisien a presque terminé les préparatifs. L’opéra de Tunis a de son côté commencé les préparatifs. S’il y aura une fusion, des éléments de notre orchestre seront certainement écartés. A l’ouverture de la cité de la culture, des musiciens ukrainiens ont été engagés par l’opéra de Tunis. Moi, j’ai assisté en tant qu’invité, a assuré Hafedh Makni.   Le chef de l’orchestre a parlé d’une tentative de dissoudre le groupe. «De toute façon, je ne compte pas rester à la tête de cet orchestre. Il y a des semaines que je pense sérieusement à cette décision. Je suppose que le ministre va être satisfait de cette nouvelle. Moi, je refuse de continuer alors que les membres de ma troupe n’ont pas encore reçu leurs salaires de la part du ministère de la culture», a conclu le chef de l’orchestre symphonique tunisien.     "
76,"Invités de Noujoum de ce samedi 13 janvier, Kafon et Ines ont présenté leur nouvelle chanson ""daloulla"". Ines jeune tunisienne âgée de 19 ans et résidant en France, a indiqué avoir fait la connaissance et choisi Kafon pour entamer un nouveau projet en raison de son style peu commun, en référence au reggaeton. Elle a ajouté qu'une deuxième version en solo de Daloula est en cours de production. Pour sa part, Kafon a annoncé qu'il sortira son prochain single en février et qu'il tournera son clip en France à partir de la semaine prochaine.        "
77,"Après une suspension de deux ans, ""Les dunes électroniques sont de retour au gouvernorat de Tozeur (Ong Jmal-Nafta).  L'événement culturel et touristique se déroulera le 20 et le 21 du mois de septembre. Le gouverneur de Tozeur, Aymen Bejaoui, a déclaré ce vendredi à Mosaïque FM, que ""les dunes électroniques"" boostera l'économie de la région. "
78,"Justin Timberlake sortira le 2 février, son prochain album Man of the Woods.  Cinq ans après The 20/20 Experience, un opus scindé en deux parties , le chanteur américain va dévoiler son nouvel album qui s'intitulera Man of the Woods et sortira le 2 février prochain.  Dans une vidéo teaser d'une minute, l'interprète de Cry Me A River apparaît en pleine nature. On peut également y voir son fils Silas Randall, Pharrell Williams et entendre la voix de sa femme Jessica Biel.   ""Cet album est profondément inspiré par mon fils, ma femme, ma famille mais surtout, et peut-être plus que tout autre album que j'ai écrit, d'où je viens"". Vendredi 5 janvier, le premier extrait sera dévoilé et le 4 février, il se produira à la mi-temps du Super Bowl, 14 ans après le Nipplegate (jour où il déchire une partie du costume en cuir de Janet Jackson sur la scène).   "
79,"Notre correspondant à la 17ème édition du festival Mawazine organisé annuellement au Maroc, Hedi Zaiem, a dévoilé, samedi 30 juin 2018, dans l'émission Noujoum de MosaiqueFm, les noms des stars qui ont confirmé leur présence au Festival International de Carthage, cet été. En effet, Kadhem Saher, Majida el Roumi, Melhem Zein ainsi que Hiba tawaji performeront sur la scène de Carthage pour la 54ème édition du Festival. Hiba Tawaji sera également présente au festival de Hammamet alors que la la soirée de Louis Fonsi n'est pas encore confirmée, d'après notre envoyé spécial. La liste définitive sera annoncée lors d'une conférence de Presse au Festival Mawazine dans l'après midi.  "
80,"Pour son nouvel album, Sherine Abdel-Wahab va collaborer avec son mari, le chanteur Hossam Habib. Il était question dans ""Trending"", de ce nouveau projet l’émission quotidienne de ""MBC 4"", où un nouvel album est confirmé bien qu’aucune date de sortie n’ait été annoncée. Sherine Abdel-Wahab collaborera non seulement avec son époux, mais aussi avec le compositeur Amro Moustapha.  Par ailleurs, début août, Sherine Abdel-Wahab était accompagnée de son mari, le chanteur Hossam Habib pour un dîner d’affaire à Cannes, dans le sud de la France. Cheikh Fahad Zahid, qui n’est autre que le président du Conseil d’administration de ""Lifestyle Studios"", intégrée à Zahid Group Holding  Cette rencontre aurait été programmée pour finaliser la production d’une chanson dont la sortie serait prévue pour la rentrée. Mais cette collaboration ne serait effective que pour une seule chanson. Pour le reste, Sherine Abdel-Wahab demeure fidèle au label ""Rotana"". Ce morceau devait être écrit et composer par la Marocain Mohammed Rifai, qui collabore déjà pour le prochain morceau de Nancy Ajram. "
81,"Ali Patrick El Ouerghi, co-fondateur du festival ""Les dunes électroniques"" a déclaré sur les ondes de Mosaïque FM que l’édition de cette année se déroulera les 16 et 17 novembre courant, à Nefta, Tozeur, dans les dunes d’Ong Jmel. Il a également précisé que les billets sont en cours de vente dans plusieurs points à savoir:  - Le site de Traveltodo.com et ses 35 agences en Tunisie.  -Le site Teskerti.tn  -A l'hôtel Palm Beach à Tozeur  -Aux magasins City sport et Go Sport Plus de 7000 participants sont attendus à ce grand événement, a souligné Ali Patrick El Ouerghi, qui a insisté sur la nécessité d'acheter les tickets avant le jour ""J"" pour éviter les fils d'attente. Notons que pour l'épisode 3 des dunes électroniques, plus de 30 artistes sont attendus pour 30 heures de musique non stop. Voici les artistes:  Luciano | Apollonia | Adam Port | Archie Hamilton | Astrid | Audiofly | Baris K | Behrouz | Ben & Lola | Birds of Mind | De La Moon | Dj Academy For Girls | Daox b2b M.A.O.U | Fantastic Twins (Live) | Ghassen Ghazouani | Hazem Berrabah | Kemist | Konstantin Sibold | Kusman | Mâhfoud (Live) | Mehmet Aslan | Moodkase | Nacim Gastli | Nicolas Lutz | Noy Ärɑ | Parallells | Sama | Shamann | Sis | Stimming (Live) | Terra Negra | Viken Arman (Live) "
82,"Sherine Abdel Wahab avait plaisanté, lors d’un concert aux Émirats arabes unis, sur la qualité de l’eau du fleuve. La chanteuse de pop égyptienne Sherine Abdel Wahab a été condamnée, mardi 27 février, à six mois de prison pour avoir dénigré le Nil en plaisantant sur la qualité de son eau, selon des sources judiciaires. Populaire dans le monde arabe, cette chanteuse à succès a écopé de cette peine, prononcée par un tribunal du Caire, pour avoir « diffusé de fausses informations » et « troublé l’ordre public ». La peine de prison prononcée est suspensive le temps de l’appel, moyennant le versement d’une caution de 5 000 livres égyptiennes (environ 230 euros). « Bois de l’Evian, c’est mieux ! » : Il y a quelques mois, des internautes avaient partagé sur les réseaux sociaux une vidéo d’un concert aux Emirats arabes unis où un fan demandait à la star de chanter Avez-vous bu l’eau du Nil ?, l’un de ses succès. « Tu attraperais la bilharziose », avait-elle répondu, en référence à une maladie provoquée par des vers parasites présents dans certaines eaux douces. « Bois de l’Evian, c’est mieux ! », avait-t-elle plaisanté. Le syndicat des musiciens avait annoncé qu’il interdirait à la chanteuse de se produire sur scène en Egypte. Pendant la polémique, Sherine Abdel Wahab avait présenté ses excuses. Populaire mais parfois controversée, elle a été membre du jury de la version arabe du célèbre télé-crochet The Voice. Le Nil reste un sujet sensible en Égyptien, le pays craignant pour son approvisionnement en eau depuis la construction d’un grand barrage par l’ Ethiopie. Les discussions entre les deux pays, ainsi qu’avec le Soudan, piétinent. afp "
83,"Le chanteur de rap Master Sina a exprimé son soutien pour le chanteur Samara qui a été arrêté, sur les ondes de Mosaïque Fm à l'émission Chellet Amine de ce mercredi. ""Samara est mon frère et tout le monde devrait le soutenir"". a t-il affirmé. Il a également parlé de ses nouveautés. "
84,"Amina Fakhet a indiqué, lors d'une conférence de presse qu'elle avait organisée pour présenter son spectacle à Carthage, mardi 10 juillet 2018, que plusieurs autres voix partageront la scène avec elle. Elle a annoncé, par la suite, que sa fille montera sur scène pour chanter avec elle qualifiant sa voix d'exceptionnel. En effet, sa fille aspire à une carrière de chanteuse professionnelle, d'après Amina Fakhet.  "
85,"La chanteuse Chirine Lajmi, invitée dans Noujoum de ce samedi, a évoqué la controverse liée à son nouveau clip ""Marchouma Hounia"". Elle a indiqué qu'elle a été surprise en découvrant les commentaires critiquant sa tenue de policière dans le clip. ""Ma tenue n'est ni transparente ni provocante, et le fait que le clip soit tourné dans un décor de couleur rose ne veut pas forcément dire qu'il y a une connotation sexuelle derrière"" a t-elle expliqué ajoutant "" Je ne suis pas responsable des interprétations"". Elle a précisé qu'elle est très heureuse du tout premier clip de sa carrière le qualifiant de 'cohérent' et de 'complet'.  "
86,"Yafet Ben Hmida, directeur du festival international de Monastir a annoncé, lors d'une conférence de presse tenue ce jour, que le festival se tiendra du 16 juillet au 8 août 2019. 20 spectacles sont programmés pour la 48ème édition de ce festival. Yafet Ben Hmida a assuré que 300 abonnements à 80 dinars seront disponibles pour le public, alors que les prix des billets varieront entre  5 et 35 dinars. Par ailleurs, la chanteuse libanaise Elyssa ainsi que Houssine Eddik sont au programme de ce festival, qui aura lieu au stade olympique Mustapha Ben Jannet.   "
87,"La nouvelle vidéo de la chanteuse américaine Ariana Grande ""Thank U, Next"" a battu plusieurs records depuis sa mise en ligne vendredi, devenant notamment la plus rapide à atteindre 100 millions de vues sur YouTube, a indiqué la plateforme. ""Ari"", son surnom, a eu besoin d'un peu plus de trois jours seulement pour franchir cette barre et détrôner le Sud-Coréen Psy, qui avait mis quelques heures de plus pour hisser son ""Gentleman"" au-delà des 100 millions de visionnages, en 2013. La jeune femme de 25 ans avait savamment fait monter l'attente autour de cette vidéo ces dernières semaines, notamment en espaçant d'un mois quasiment la sortie du titre, le 5 novembre, et celle du clip. Elle a également essaimé plusieurs vidéos ""teaser"", sur les coulisses du tournage, reprenant ainsi les techniques utilisées dans le cinéma, avant la mise en ligne de son clip, vendredi. ""Thank U, Next"" a également battu le record du plus grand nombre de vues lors des 24 heures suivant la sortie d'une vidéo sur YouTube, avec 55,4 millions de visionnages, pulvérisant les 45,9 millions du groupe coréen BTS avec son titre ""IDOL"", en août dernier. La vidéo est truffée de références à l'histoire d'Ariana Grande, mais aussi à quatre films populaires du début des années 2000. Dans la chanson, la jeune artiste évoque ses anciennes amours et remercie ses ""ex"" de ce qu'ils lui ont apporté, mentionnant les rappeurs Big Sean et Mac Miller, qui s'est suicidé en septembre dernier, ainsi que l'humoriste et acteur Pete Davidson. Le titre a valu à celle qui a démarré comme actrice dans une série pour la chaîne jeunesse Nickelodeon son premier numéro un au classement des ventes de disques aux Etats-Unis. ""Thank U, Next"" sera intégré à un album, dont la date de sortie n'est pas encore connue.     "
88,"La compilation des premiers succès du groupe californien Eagles, parue en 1976, est redevenue l'album le plus vendu de tous les temps, repassant devant ""Thriller"" de Michael Jackson selon un nouveau classement publié lundi par l'association américaine de l'industrie du disque. Selon la Recording Industry Association of America, les ""Greatest Hits 1971-75"" des Eagles, compilation des quatre premiers albums du groupe de country rock né à Los Angeles en 1971, a atteint des ventes ""38x platine"", soit un nombre certifié de 38 millions d'exemplaires, en disque ou en équivalent streaming, contre 33x platine ou 33 millions pour ""Thriller"". Les Eagles, dont la compilation avait longtemps occupé la première place avant de se voir doublée par ""Thriller"" en 2009, s'arrogent également la troisième place de ce nouveau classement pour leur album ""Hotel California"", sorti en 1976 et incluant le tube éponyme devenu l'un des slows culte de toute une génération, avec 26 millions. Le nouveau classement de l'association de l'industrie du disque a été publié après que l'association a recalculé ses chiffres pour inclure les ventes en streaming, ce qui n'avait pas été fait pour les Eagles depuis 2006, selon le magazine Rolling Stone.  ""Nous sommes reconnaissants à nos familles, notre management, notre équipe, les gens de la radio, et surtout, à nos fidèles fans qui sont restés avec nous en dépit des hauts et des bas des 46 dernières années"", a réagi Don Henley, chanteur et cofondateur de 71 ans, cité par le magazine.  Après la mort de son co-fondateur Glenn Frey début 2016 à l'âge de 67 ans, le groupe Eagles s'est reformé début 2017 et repris les tournées. Il a prévu une série de concerts aux Etats-Unis en septembre. "
89,"L’artiste Salah El Farzit est revenu ce mercredi 8 mai 2019 lors de son passage dans Romdhane Show sur son conflit historique avec Hedi Habbouba.    ""Aux funérailles du feu Abderrazek Kliou, j’ai rencontré Hédi Habbouba.  J’ai assuré à Habbouba qu’il n’y a pas de conflits entre nous.  Mais je ne peux pas être avec lui dans un projet commun. Lors d’une cérémonie à mon honneur, Hédi  a refusé de monter sur scène et il a quitté la salle alors qu’il a été invité à nous rejoindre, moi et le ministre de la Cluture"", a fait savoir Salah El Farzit.      "
90,"Quand ils ont eu la bonne idée d'enregistrer, il y a 40 ans, ""Rapper's Delight"", le premier succès rap de l'histoire, les membres du groupe Sugarhill Gang étaient loin de se douter qu'ils allaient propulser le hip-hop, mouvement éphémère local, au rang de culture planétaire. ""J'aurais jamais cru que ça prendrait de telles proportions. A l'époque, on nous décourageait de faire du hip-hop, personne ne respectait ça"", explique à l'AFP Grandmaster Caz. Ce pionnier est l'un des co-auteurs de ""Rapper's Delight"", même s'il n'a jamais été officiellement crédité pour ses paroles. Sorti en 1979, ce tube est resté dans l'histoire de la culture comme le premier tube de rap, permettant au monde entier de découvrir un genre nouveau. Surtout, il a permis de graver dans le vinyle cette musique née dans les ""block parties"" du quartier new-yorkais du Bronx. ""Avoir enregistré en studio est la chose la plus intelligente qu'on pouvait faire pour le hip-hop"", se remémore pour l'AFP Master Gee, l'un des trois rappeurs de Sugarhill Gang, interviewé au cours de l'inauguration d'un musée à Washington en janvier. ""Commercialement, on était les premiers. C'est comme si on avait marché sur la Lune"", explique le rappeur, âgé aujourd'hui de 57 ans. Le morceau s'est vendu à des millions d'exemplaires à travers le monde et a même eu l'honneur d'être introduit en 2011 à la très prestigieuse Bibliothèque du Congrès à Washington. C'est à quelques minutes de là que s'est ouvert début 2019 un musée éphémère du hip-hop, où sont exposés plusieurs centaines de micros dédicacés, disques de platines, produits dérivés, posters...  La parfaite représentation de 40 ans d'histoire, dont les trois acolytes Hen Dogg (décédé depuis), Wonder Mike et Master Gee sont à l'origine.  "
91,"Le clip 'Ensey' de Saad Mjard et Mohamed Ramadan a été retiré de Youtube et de tous les réseaux sociaux de la star Mohamed Ramadan. Selon le réalisateur du clip Mohamed Hosni, la raison de ce retrait n'a pas été communiquée jusqu'à présent. Notons que le clip ""Ensey"" a récolté 170 millions de vues depuis sa publication le 18 juillet dernier sur Youtube. D'autre part, le site ""ET"" a indiqué que le clip a été retiré pour violation des droits de la société ''Lucky Light Movie Music"". "
92,"Alors que l'enterrement a eu lieu il y a deux jours à Limerick en Irlande, et que les fans sont venus lui dire au revoir une dernière fois, les causes de la mort de Dolores O'Riordan ont été révélées. La chanteuse à la voix si particulière du groupe irlandais ""The Cranberries"" avait été retrouvée morte dans sa chambre d'hôtel le 15 janvier à Londres où elle enregistrait en studio, alors qu'elle n'avait que 46 ans. Le Santa Monica Observer a ainsi publié les résultats de son autopsie qui nous apprend que la chanteuse aurait succombé à une overdose de Fentanyl, un analgésique de synthèse aux effets similaires à ceux de l'opium. Il s'agit d'un anti-douleur très puissant, apparemment 50 fois plus puissant que l'héroine, et 100 fois plus puissant que la morphine. Le Fentanyl serait aussi à l'origine de la mort du chanteur Prince survenue le 21 avril 2016, et de la mort de Michael Jackson, soudainement annoncée le 25 juin 2009. Si l'on savait que ce médicament avait été retrouvé dans la chambre d'hôtel de Dolores O'riordan le jour de sa mort, on restait incertain qu'il soit à l'origine de son décès. En effet, la mort de la chanteuse irlandaise n'avait pas été considérée comme ""suspecte"" par la police londonienne venue dans sa chambre de l'hôtel de Park Lane, une rue des beaux quartiers de la capitale britannique.    "
93,"Le concert de la chanteuse Espagnole d'origine équato-guinéenne, Buika, programmé pour le 25 août, dans le cadre de la 18ème session du festival du Jazz à Tabarka a été remplacé par celui de Yasmine Azaiez, la violoniste Tunisienne. Le spectacle a donc été reporté à samedi 1er septembre pour la soirée de clôture avant que Buika ne s'excuse auprès de l'administration sous prétexte que le nom de l'un de ses accompagnateurs comportait une erreur. La chanteuse a donc annulé son rendez-vous avec le public à 24 heures du jour J alors que l'administration du festival avait déjà consacré une partie de la somme pour les déplacements des musiciens et les techniciens, pensant pouvoir compenser le déséquilibre du budget grâce au concert de Buika. L'administration portera donc plainte contre la chanteuse espagnole qui a failli aux obligations liées à ses engagements et a trahi son public. "
94,"La star libanaise Carole Samaha a assuré ce mercredi 7 août 2019 qu'elle est heureuse de revenir une nouvelle fois au théâtre de Carthage.   Son spectacle aura lieu ce vendredi 9 août 2019.    Lors de son passage dans Corniche sur Mosaïque FM, la chanteuse s'est dite heureuse de retrouver le public de Carthage après quatre ans d'absence. Les fans auront une surprise durant ce concert. En plus de ses chansons, Carole a préparé des surprises. Des chansons françaises, anglaises et un cocktail tunisien et libanais sont au programme.   Le cocktail tunisien contiendra des chansons de Hédi Jouini qu'elle apprécie énormément. "
95,"Pour le tournage de son clip, le chanteur canadien Drake s'est montré très généreux.   Le clip de God's Plan publié sur sa chaine sur Youtube vendredi 16 février 2018 montre le chanteur donner de l'argent à des inconnus durant le tournage.   Drake a dépensé 996 631,90 dollars.   Le clip consiste à suivre le chanteur à la rencontre l’inconnu et à filmer leurs réactions à ces actes de générosité.   En plus de l'argent en liquide, il a aussi payé les courses d'anonymes et il a signé des chèques géants offerts à des enfants dans une école.    ""Nous avons tout donné. Ne le dites pas à notre label"", indique le chanteur au début du clip.   Depuis sa publication, le clip a fait plus de 8 millions de vues  "
96,"L'auteur, chanteur et producteur Ridha Diki a été victime d'un accident. Il souffre d'une fracture du col du fémur. Son statut social et financier précaire a compliqué sa situation.   ""En apprenant sa mésaventure, un nombre d'artistes et des amis de l'artiste ont décidé d'organiser un concert de charité. Ce concert aura lieu demain mardi 28 mai 2019 à la salle Le Rio à Tunis. Les revenus du concert seront versés à l'artiste"", a indiqué Yamina Mechri, du collectif de solidarité avec Ridha Diki.   Dans ce même contexte, Jamel Belhaj Khalifa, frère de Ridha Diki est revenu sur les détails de son accident. Lors de son passage de Romdhane Show, Jamel a indiqué que son frère qui n'a pas de famille a Tunis est parti à la rue Ibn Khaldoun à Tunis pour rompre le jeune. ""Malheureusement, un groupe de jeunes ont lâché leur chien. L'animal a attaqué Ridha qui a fait une chute et s'est cassé le col du fémur. Sa mésaventure ne s'est pas achevée puisqu'il a passé des heures allongé par terre et sans assistance. Les jeunes ont fini par transféré Ridha par leurs propres moyens au centre de traumatologie et des grands brûlés à Ben Arous... Ridha a été inscrit comme s'il n'était pas victime d'un accident. Les jeunes ont juste eu le soin de l'appelé le lendemain de l'accident. Mais en apprenant que sa situation est plutôt critique, ils se sont volatilisés....  En arrivant sur place un jour après l'accident, j'ai trouvé mon frère dans un état déplorable. Il souffrait beaucoup et après l'opération, j'ai été obligé de le transférer chez moi à Sousse"".      Le frère de l'artiste a noté que son état est stable, mais il souffre encore. ""Le ministre des Affaires culturelles a eu le soin d'envoyer un bouquet de fleurs et une somme d'argent à Ridha. Un collectif d'artistes et d'amis ont commencé à se réunir pour organiser une action de solidarité avec lui. Personnellement, j'ai fait tout ce que je pouvais pour mon frère"", a noté Jamel.   Yamina Mechri, a fait savoir que la Salle le Rio a été aménagée gratuitement pour héberger le concert. ""Le prix des tickets pour ce concert est 20 dinars. Nous comptons sur la générosité des tunisiens car chaque centime sera versé directement à Ridha"".    "
